COG20_FUNCTION	n	cob_path
"ABC-type cobalamin/Fe3+-siderophores transport system, ATPase component (FepC) (PDB:2NQ2)"	126	rem
"ABC-type cobalt transport system, periplasmic component (CbiN)"	29	rem
ATP:corrinoid adenosyltransferase (BtuR) (PDB:4HUT)	125	salvage
Adenosyl cobinamide kinase/adenosyl cobinamide phosphate guanylyltransferase (CobU) (PDB:1C9K)	30	salvage
Cob(II)alamin adenosyltransferase (PduO) (PDB:1NOG)	2	main
Cobalamin biosynthesis cobaltochelatase CobT subunit (CobT2)	16	aerobic
Cobalamin biosynthesis protein CbiD (cobalt-precorrin-5B C-methyltransferase) (CbiD) (PDB:1SR8)	29	anaerobic
Cobalamin biosynthesis protein CbiG (CbiG)	29	anaerobic
"Cobalamin biosynthesis protein CbiK, Co2+ chelatase (CbiK) (PDB:1QGO)"	1	anaerobic
Cobalamin biosynthesis protein CobD/CbiB (CbiB)	29	main
Cobalamin synthase CobS (adenosylcobinamide-GDP ribazoletransferase) (CobS) (PUBMED:31481610)	28	aerobic
Cobyric acid synthase (CobQ)	29	main
"Cobyrinic acid a,c-diamide synthase (CobB)"	29	aerobic
"Cobalamin biosynthesis protein CbiK, Co2+ chelatase (CbiK) (PDB:1QGO)"	28	aerobic
Histidinol-phosphate/aromatic aminotransferase or cobyric acid decarboxylase (HisC) (PDB:4R2N)	126	rem
"5,10-methylenetetrahydrofolate reductase (MetF) (PDB:1B5T)"	1	rem
"Methionine synthase I (cobalamin-dependent), methyltransferase domain (MetH1) (PDB:1LT7)"	121	rem
"Methionine synthase I, cobalamin-binding domain (MetH2) (PDB:4DJD)"	118	rem
Methionine synthase II (cobalamin-independent) (MetE) (PDB:1T7L)	125	rem
MoxR-like ATPase (MoxR) (PDB:2R44)	126	rem
NaMN:DMB phosphoribosyltransferase (CobT) (PDB:1D0S)	28	aerobic
Precorrin-2 methylase (CobF) (PDB:2QBU)	29	aerobic
Precorrin-3B methylase (CobJ) (PDB:2ZVB)	29	aerobic
Precorrin-4 methylase (CobM) (PDB:4E16)	29	aerobic
Precorrin-6B methylase 2 (CobL) (PDB:1F38)	29	aerobic
Precorrin-8X methylmutase CbiC/CobH (CobH) (PDB:1F2V)	30	aerobic
"Pyruvate/2-oxoglutarate/acetoin dehydrogenase complex, dehydrogenase (E1) component, beta subunit (AcoB) (PDB:2OZL)"	9	rem
Sirohydrochlorin ferrochelatase (SirB) (PDB:1TJN)	3	rem
Uroporphyrinogen-III methylase (siroheme synthase) (CysG) (PDB:1PJQ)	98	c4
Uroporphyrinogen-III synthase (HemD) (PDB:1JR2)	28	c4
