list	species	color_species	origin	color_origin	sample_origin_color	sample_origin	genome_name	newgenomename	genomename_mod	genome_name2	cluster_sp	cluster_paper
CM01_24_S247	hadrus	#E56635	human	#929BC3	#3B99B1	CM001	CM01_24	CM01_24	CM01_24	CM01_24_S247	hadrus	A
CM02_14_S245	hadrus	#E56635	human	#929BC3	#7CBA96	CM002	CM02_14	CM02_14	CM02_14	CM02_14_S245	hadrus	A
CM02_2_S14	hadrus	#E56635	human	#929BC3	#7CBA96	CM002	CM02_2	CM02_2	CM02_2	CM02_2_S14	hadrus	A
CM02_5_S246	hadrus	#E56635	human	#929BC3	#7CBA96	CM002	CM02_5	CM02_5	CM02_5	CM02_5_S246	hadrus	A
CM02_91_S238	caccae	#EDB700	human	#929BC3	#7CBA96	CM002	CM02_91	CM02_91	CM02_91	CM02_91_S238	caccae	B
CM03_34_S239	caccae	#EDB700	human	#929BC3	#EACB2B	CM003	CM03_34	CM03_34	CM03_34	CM03_34_S239	caccae	B
CM03_42_S4	hadrus	#E56635	human	#929BC3	#EACB2B	CM003	CM03_42	CM03_42	CM03_42	CM03_42_S4	hadrus	A
CM03_47_S15	hadrus	#E56635	human	#929BC3	#EACB2B	CM003	CM03_47	CM03_47	CM03_47	CM03_47_S15	hadrus	A
CM03_84_S248	hadrus	#E56635	human	#929BC3	#EACB2B	CM003	CM03_84	CM03_84	CM03_84	CM03_84_S248	hadrus	A
CM06_11_S6	hadrus	#E56635	human	#929BC3	#E78F0A	CM006	CM06_11	CM06_11	CM06_11	CM06_11_S6	hadrus	A
CM06_28_S240	caccae	#EDB700	human	#929BC3	#E78F0A	CM006	CM06_28	CM06_28	CM06_28	CM06_28_S240	caccae	B
CM06_29_S244	hadrus	#E56635	human	#929BC3	#E78F0A	CM006	CM06_29	CM06_29	CM06_29	CM06_29_S244	hadrus	A
CM06_64_S241	caccae	#EDB700	human	#929BC3	#E78F0A	CM006	CM06_64	CM06_64	CM06_64	CM06_64_S241	caccae	B
CM07_26_S11	hadrus	#E56635	human	#929BC3	#F5191C	CM007	CM07_26	CM07_26	CM07_26	CM07_26_S11	hadrus	A
CM07_31_S12	hadrus	#E56635	human	#929BC3	#F5191C	CM007	CM07_31	CM07_31	CM07_31	CM07_31_S12	hadrus	A
CM1_23_S50	hadrus	#E56635	human	#929BC3	#3B99B1	CM001	CM1_23	CM1_23	CM1_23	CM1_23_S50	hadrus	A
CM1_26_S52	hadrus	#E56635	human	#929BC3	#3B99B1	CM001	CM1_26	CM1_26	CM1_26	CM1_26_S52	hadrus	A
CM1_30_S215	hadrus	#E56635	human	#929BC3	#3B99B1	CM001	CM1_30	CM1_30	CM1_30	CM1_30_S215	hadrus	A
CM7_52_S47	hadrus	#E56635	human	#929BC3	#F5191C	CM007	CM7_52	CM7_52	CM7_52	CM7_52_S47	hadrus	A
CM7_69_S49	hadrus	#E56635	human	#929BC3	#F5191C	CM007	CM7_69	CM7_69	CM7_69	CM7_69_S49	hadrus	A
CM7_88B_S63	hadrus	#E56635	human	#929BC3	#F5191C	CM007	CM7_88B	CM7_88B	CM7_88B	CM7_88B_S63	hadrus	A
GCA_003434455.1_ASM343445v1_genomic	hominis	#f59d95	human	#929BC3	#F5D5C1	GC	GCA_003434455	GCA_003434455_1_ASM343445v1_genomic	GCA_003434455.1_ASM343445v1_genomic	GCA_003434455_1_ASM343445v1_genomic	caccae	B
GCA_008679275.1_ASM867927v1_genomic	hadrus	#E56635	human	#929BC3	#F5D5C1	GC	GCA_008679275	GCA_008679275_1_ASM867927v1_genomic	GCA_008679275.1_ASM867927v1_genomic	GCA_008679275_1_ASM867927v1_genomic	hadrus	A
GCA_008680515.1_ASM868051v1_genomic	hadrus	#E56635	human	#929BC3	#F5D5C1	GC	GCA_008680515	GCA_008680515_1_ASM868051v1_genomic	GCA_008680515.1_ASM868051v1_genomic	GCA_008680515_1_ASM868051v1_genomic	hadrus	A
GCA_008680995.1_ASM868099v1_genomic	hadrus	#E56635	human	#929BC3	#F5D5C1	GC	GCA_008680995	GCA_008680995_1_ASM868099v1_genomic	GCA_008680995.1_ASM868099v1_genomic	GCA_008680995_1_ASM868099v1_genomic	hadrus	A
GCA_014866065.1_ASM1486606v1_genomic	hadrus	#E56635	human	#929BC3	#F5D5C1	GC	GCA_014866065	GCA_014866065_1_ASM1486606v1_genomic	GCA_014866065.1_ASM1486606v1_genomic	GCA_014866065_1_ASM1486606v1_genomic	hadrus	A
GCA_017850655.1_ASM1785065v1_genomic	hadrus	#E56635	human	#929BC3	#F5D5C1	GC	GCA_017850655	GCA_017850655_1_ASM1785065v1_genomic	GCA_017850655.1_ASM1785065v1_genomic	GCA_017850655_1_ASM1785065v1_genomic	hadrus	A
GCA_017851275.1_ASM1785127v1_genomic	hadrus	#E56635	human	#929BC3	#F5D5C1	GC	GCA_017851275	GCA_017851275_1_ASM1785127v1_genomic	GCA_017851275.1_ASM1785127v1_genomic	GCA_017851275_1_ASM1785127v1_genomic	hadrus	A
GCA_017888015.1_ASM1788801v1_genomic	butyraticus	#D09D07	chicken	#1C569F	#F5D5C1	GC	GCA_017888015	GCA_017888015_1_ASM1788801v1_genomic	GCA_017888015.1_ASM1788801v1_genomic	GCA_017888015_1_ASM1788801v1_genomic	chicken	C
GCA_018364275.1_ASM1836427v1_genomic	hominis	#f59d95	human	#929BC3	#F5D5C1	GC	GCA_018364275	GCA_018364275_1_ASM1836427v1_genomic	GCA_018364275.1_ASM1836427v1_genomic	GCA_018364275_1_ASM1836427v1_genomic	caccae	B
GCA_018365775.1_ASM1836577v1_genomic	hadrus	#E56635	human	#929BC3	#F5D5C1	GC	GCA_018365775	GCA_018365775_1_ASM1836577v1_genomic	GCA_018365775.1_ASM1836577v1_genomic	GCA_018365775_1_ASM1836577v1_genomic	hadrus	A
GCA_018375095.1_ASM1837509v1_genomic	caccae	#EDB700	human	#929BC3	#F5D5C1	GC	GCA_018375095	GCA_018375095_1_ASM1837509v1_genomic	GCA_018375095.1_ASM1837509v1_genomic	GCA_018375095_1_ASM1837509v1_genomic	caccae	B
GCA_018381315.1_ASM1838131v1_genomic	sp018381315	#b3b3b3	human	#B96AA6	#F5D5C1	GC	GCA_018381315	GCA_018381315_1_ASM1838131v1_genomic	GCA_018381315.1_ASM1838131v1_genomic	GCA_018381315_1_ASM1838131v1_genomic	caccae	B
GCA_019114985.1_ASM1911498v1_genomic	excrementavium	#7A3036	chicken	#1C569F	#F5D5C1	GC	GCA_019114985	GCA_019114985_1_ASM1911498v1_genomic	GCA_019114985.1_ASM1911498v1_genomic	GCA_019114985_1_ASM1911498v1_genomic	chicken	C
GCA_019119895.1_ASM1911989v1_genomic	avistercoris	#6E792B	chicken	#1C569F	#F5D5C1	GC	GCA_019119895	GCA_019119895_1_ASM1911989v1_genomic	GCA_019119895.1_ASM1911989v1_genomic	GCA_019119895_1_ASM1911989v1_genomic	chicken	C
GCA_900066705.1_14207_7_32_genomic	sp900066705	#b3b3b3	human	#929BC3	#F5D5C1	GC	GCA_900066705	GCA_900066705_1_14207_7_32_genomic	GCA_900066705.1_14207_7_32_genomic	GCA_900066705_1_14207_7_32_genomic	hadrus	A
GCA_904419485.1_Chicken_16_mag_180_genomic	excrementavium	#7A3036	chicken	#1C569F	#F5D5C1	GC	GCA_904419485	GCA_904419485_1_Chicken_16_mag_180_genomic	GCA_904419485.1_Chicken_16_mag_180_genomic	GCA_904419485_1_Chicken_16_mag_180_genomic	chicken	C
GCA_904419565.1_Chicken_21_mag_8_genomic	butyraticus	#D09D07	chicken	#1C569F	#F5D5C1	GC	GCA_904419565	GCA_904419565_1_Chicken_21_mag_8_genomic	GCA_904419565.1_Chicken_21_mag_8_genomic	GCA_904419565_1_Chicken_21_mag_8_genomic	chicken	C
GCA_905199235.1_SRR2912801-mag-bin.12_genomic	caccae	#EDB700	human	#929BC3	#F5D5C1	GC	GCA_905199235	GCA_905199235_1_SRR2912801_mag_bin_12_genomic	GCA_905199235.1_SRR2912801-mag-bin.12_genomic	GCA_905199235_1_SRR2912801_mag_bin_12_genomic	caccae	B
GCA_905206325.1_ERR1600569-mag-bin.31_genomic	amylophilus	#0C5650	human	#929BC3	#F5D5C1	GC	GCA_905206325	GCA_905206325_1_ERR1600569_mag_bin_31_genomic	GCA_905206325.1_ERR1600569-mag-bin.31_genomic	GCA_905206325_1_ERR1600569_mag_bin_31_genomic	hadrus	A
GCA_910574135.1_MGBC000029_genomic	hominis	#f59d95	mice	#6BCCE0	#F5D5C1	GC	GCA_910574135	GCA_910574135_1_MGBC000029_genomic	GCA_910574135.1_MGBC000029_genomic	GCA_910574135_1_MGBC000029_genomic	caccae	B
GCA_910574775.1_MGBC000097_genomic	hominis	#f59d95	mice	#6BCCE0	#F5D5C1	GC	GCA_910574775	GCA_910574775_1_MGBC000097_genomic	GCA_910574775.1_MGBC000097_genomic	GCA_910574775_1_MGBC000097_genomic	caccae	B
GCA_910574945.1_MGBC000090_genomic	hominis	#f59d95	mice	#6BCCE0	#F5D5C1	GC	GCA_910574945	GCA_910574945_1_MGBC000090_genomic	GCA_910574945.1_MGBC000090_genomic	GCA_910574945_1_MGBC000090_genomic	caccae	B
GCA_910575065.1_MGBC000096_genomic	hominis	#f59d95	mice	#6BCCE0	#F5D5C1	GC	GCA_910575065	GCA_910575065_1_MGBC000096_genomic	GCA_910575065.1_MGBC000096_genomic	GCA_910575065_1_MGBC000096_genomic	caccae	B
GCA_910575135.1_MGBC000098_genomic	hominis	#f59d95	mice	#6BCCE0	#F5D5C1	GC	GCA_910575135	GCA_910575135_1_MGBC000098_genomic	GCA_910575135.1_MGBC000098_genomic	GCA_910575135_1_MGBC000098_genomic	caccae	B
GCF_000154305.1_ASM15430v1_genomic	caccae	#EDB700	human	#929BC3	#F5D5C1	GC	GCF_000154305	GCF_000154305_1_ASM15430v1_genomic	GCF_000154305.1_ASM15430v1_genomic	GCF_000154305_1_ASM15430v1_genomic	caccae	B
GCF_000154545.1_ASM15454v1_genomic	hadrus	#E56635	human	#929BC3	#F5D5C1	GC	GCF_000154545	GCF_000154545_1_ASM15454v1_genomic	GCF_000154545.1_ASM15454v1_genomic	GCF_000154545_1_ASM15454v1_genomic	hadrus	A
GCF_000185525.1_ASM18552v1_genomic	hadrus	#E56635	human	#929BC3	#F5D5C1	GC	GCF_000185525	GCF_000185525_1_ASM18552v1_genomic	GCF_000185525.1_ASM18552v1_genomic	GCF_000185525_1_ASM18552v1_genomic	hadrus	A
GCF_000185825.1_ASM18582v1_genomic	caccae	#EDB700	human	#929BC3	#F5D5C1	GC	GCF_000185825	GCF_000185825_1_ASM18582v1_genomic	GCF_000185825.1_ASM18582v1_genomic	GCF_000185825_1_ASM18582v1_genomic	caccae	B
GCF_000210695.1_ASM21069v1_genomic	hadrus	#E56635	human	#929BC3	#F5D5C1	GC	GCF_000210695	GCF_000210695_1_ASM21069v1_genomic	GCF_000210695.1_ASM21069v1_genomic	GCF_000210695_1_ASM21069v1_genomic	hadrus	A
GCF_000332875.2_ASM33287v2_genomic	hadrus	#E56635	human	#929BC3	#F5D5C1	GC	GCF_000332875	GCF_000332875_2_ASM33287v2_genomic	GCF_000332875.2_ASM33287v2_genomic	GCF_000332875_2_ASM33287v2_genomic	hadrus	A
GCF_000432215.1_MGS276_genomic	caccae	#EDB700	human	#929BC3	#F5D5C1	GC	GCF_000432215	GCF_000432215_1_MGS276_genomic	GCF_000432215.1_MGS276_genomic	GCF_000432215_1_MGS276_genomic	caccae	B
GCF_000508985.1_ASM50898v1_genomic	hominis	#f59d95	mice	#6BCCE0	#F5D5C1	GC	GCF_000508985	GCF_000508985_1_ASM50898v1_genomic	GCF_000508985.1_ASM50898v1_genomic	GCF_000508985_1_ASM50898v1_genomic	caccae	B
GCF_000876135.1_ASM87613v1_genomic	hadrus	#E56635	human	#929BC3	#F5D5C1	GC	GCF_000876135	GCF_000876135_1_ASM87613v1_genomic	GCF_000876135.1_ASM87613v1_genomic	GCF_000876135_1_ASM87613v1_genomic	hadrus	A
GCF_001304975.1_ASM130497v1_genomic	caccae	#EDB700	human	#929BC3	#F5D5C1	GC	GCF_001304975	GCF_001304975_1_ASM130497v1_genomic	GCF_001304975.1_ASM130497v1_genomic	GCF_001304975_1_ASM130497v1_genomic	caccae	B
GCF_001404835.1_14207_7_31_genomic	hadrus	#E56635	human	#929BC3	#F5D5C1	GC	GCF_001404835	GCF_001404835_1_14207_7_31_genomic	GCF_001404835.1_14207_7_31_genomic	GCF_001404835_1_14207_7_31_genomic	hadrus	A
GCF_001404955.1_13470_2_79_genomic	hadrus	#E56635	human	#929BC3	#F5D5C1	GC	GCF_001404955	GCF_001404955_1_13470_2_79_genomic	GCF_001404955.1_13470_2_79_genomic	GCF_001404955_1_13470_2_79_genomic	hadrus	A
GCF_001405635.1_14207_7_82_genomic	hadrus	#E56635	human	#929BC3	#F5D5C1	GC	GCF_001405635	GCF_001405635_1_14207_7_82_genomic	GCF_001405635.1_14207_7_82_genomic	GCF_001405635_1_14207_7_82_genomic	hadrus	A
GCF_001405715.1_13414_6_52_genomic	hadrus	#E56635	human	#929BC3	#F5D5C1	GC	GCF_001405715	GCF_001405715_1_13414_6_52_genomic	GCF_001405715.1_13414_6_52_genomic	GCF_001405715_1_13414_6_52_genomic	hadrus	A
GCF_001998765.1_ASM199876v1_genomic	hadrus	#E56635	human	#929BC3	#F5D5C1	GC	GCF_001998765	GCF_001998765_1_ASM199876v1_genomic	GCF_001998765.1_ASM199876v1_genomic	GCF_001998765_1_ASM199876v1_genomic	hadrus	A
GCF_002270485.1_ASM227048v1_genomic	hominis	#f59d95	human	#929BC3	#F5D5C1	GC	GCF_002270485	GCF_002270485_1_ASM227048v1_genomic	GCF_002270485.1_ASM227048v1_genomic	GCF_002270485_1_ASM227048v1_genomic	caccae	B
GCF_003461705.1_ASM346170v1_genomic	amylophilus	#0C5650	human	#929BC3	#F5D5C1	GC	GCF_003461705	GCF_003461705_1_ASM346170v1_genomic	GCF_003461705.1_ASM346170v1_genomic	GCF_003461705_1_ASM346170v1_genomic	hadrus	A
GCF_003461725.1_ASM346172v1_genomic	caccae	#EDB700	human	#929BC3	#F5D5C1	GC	GCF_003461725	GCF_003461725_1_ASM346172v1_genomic	GCF_003461725.1_ASM346172v1_genomic	GCF_003461725_1_ASM346172v1_genomic	caccae	B
GCF_003473625.1_ASM347362v1_genomic	hadrus	#E56635	human	#929BC3	#F5D5C1	GC	GCF_003473625	GCF_003473625_1_ASM347362v1_genomic	GCF_003473625.1_ASM347362v1_genomic	GCF_003473625_1_ASM347362v1_genomic	hadrus	A
