wellID	condition	group	media	sugar	concentration	supplement	expID	date	contamination	pH	inoculation_growth_time	plate_growth_time	species	strain	strain_origin_date	passage	lab_person	time	OD600
A1	BMAA_l_lac	BMAA_l_lac	BMAA	l_lactate	35	NA	BMAA_plate3_upd_conc	2025-08-26T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	0	0.003333333333333327
A1	BMAA_l_lac	BMAA_l_lac	BMAA	l_lactate	35	NA	BMAA_plate3_upd_conc	2025-08-26T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	17.5	-0.016666666666666663
A1	BMAA_l_lac	BMAA_l_lac	BMAA	l_lactate	35	NA	BMAA_plate3_upd_conc	2025-08-26T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	15.5	-0.016666666666666663
A1	BMAA_l_lac	BMAA_l_lac	BMAA	l_lactate	35	NA	BMAA_plate3_upd_conc	2025-08-26T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	4.75	0.003333333333333327
A1	BMAA_l_lac	BMAA_l_lac	BMAA	l_lactate	35	NA	BMAA_plate3_upd_conc	2025-08-26T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	20.25	-0.016666666666666663
A1	BMAA_l_lac	BMAA_l_lac	BMAA	l_lactate	35	NA	BMAA_plate3_upd_conc	2025-08-26T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	9.5	-0.006666666666666654
A1	BMAA_l_lac	BMAA_l_lac	BMAA	l_lactate	35	NA	BMAA_plate3_upd_conc	2025-08-26T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	0.75	0.003333333333333327
A1	BMAA_l_lac	BMAA_l_lac	BMAA	l_lactate	35	NA	BMAA_plate3_upd_conc	2025-08-26T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	14.25	-0.016666666666666663
A1	BMAA_l_lac	BMAA_l_lac	BMAA	l_lactate	35	NA	BMAA_plate3_upd_conc	2025-08-26T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	23	-0.026666666666666672
A1	BMAA_l_lac	BMAA_l_lac	BMAA	l_lactate	35	NA	BMAA_plate3_upd_conc	2025-08-26T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	3.5	0.003333333333333327
