group	media	sugar	species	strain	condition	time	mean	n	sd	se	sample_id
chondroitin_sodium_sulfate	BMAA	chondroitin_sodium_sulfate	A. hadrus	CM02_02	chondroitin_sodium_sulfate	0	0	3	0	0	02_2
chondroitin_sodium_sulfate	BMAA	chondroitin_sodium_sulfate	A. hadrus	CM02_02	chondroitin_sodium_sulfate	0.25	0	3	0	0	02_2
chondroitin_sodium_sulfate	BMAA	chondroitin_sodium_sulfate	A. hadrus	CM02_02	chondroitin_sodium_sulfate	0.5	0	3	0	0	02_2
chondroitin_sodium_sulfate	BMAA	chondroitin_sodium_sulfate	A. hadrus	CM02_02	chondroitin_sodium_sulfate	0.75	0.003333333333333336	3	0.005773502691896263	0.0033333333333333366	02_2
chondroitin_sodium_sulfate	BMAA	chondroitin_sodium_sulfate	A. hadrus	CM02_02	chondroitin_sodium_sulfate	1	0.006666666666666664	3	0.0057735026918962545	0.003333333333333332	02_2
chondroitin_sodium_sulfate	BMAA	chondroitin_sodium_sulfate	A. hadrus	CM02_02	chondroitin_sodium_sulfate	1.25	0.00999999999999999	3	0.009999999999999995	0.005773502691896255	02_2
chondroitin_sodium_sulfate	BMAA	chondroitin_sodium_sulfate	A. hadrus	CM02_02	chondroitin_sodium_sulfate	1.5	0.013333333333333317	3	0.005773502691896263	0.0033333333333333366	02_2
chondroitin_sodium_sulfate	BMAA	chondroitin_sodium_sulfate	A. hadrus	CM02_02	chondroitin_sodium_sulfate	1.75	0.016666666666666653	3	0.005773502691896263	0.0033333333333333366	02_2
chondroitin_sodium_sulfate	BMAA	chondroitin_sodium_sulfate	A. hadrus	CM02_02	chondroitin_sodium_sulfate	2	0.016666666666666653	3	0.005773502691896263	0.0033333333333333366	02_2
chondroitin_sodium_sulfate	BMAA	chondroitin_sodium_sulfate	A. hadrus	CM02_02	chondroitin_sodium_sulfate	2.25	0.016666666666666653	3	0.005773502691896263	0.0033333333333333366	02_2
chondroitin_sodium_sulfate	BMAA	chondroitin_sodium_sulfate	A. hadrus	CM02_02	chondroitin_sodium_sulfate	2.5	0.016666666666666653	3	0.005773502691896263	0.0033333333333333366	02_2
chondroitin_sodium_sulfate	BMAA	chondroitin_sodium_sulfate	A. hadrus	CM02_02	chondroitin_sodium_sulfate	2.75	0.013333333333333327	3	0.0057735026918962545	0.003333333333333332	02_2
chondroitin_sodium_sulfate	BMAA	chondroitin_sodium_sulfate	A. hadrus	CM02_02	chondroitin_sodium_sulfate	3	0.016666666666666653	3	0.005773502691896263	0.0033333333333333366	02_2
chondroitin_sodium_sulfate	BMAA	chondroitin_sodium_sulfate	A. hadrus	CM02_02	chondroitin_sodium_sulfate	3.25	0.016666666666666653	3	0.005773502691896263	0.0033333333333333366	02_2
chondroitin_sodium_sulfate	BMAA	chondroitin_sodium_sulfate	A. hadrus	CM02_02	chondroitin_sodium_sulfate	3.5	0.016666666666666653	3	0.005773502691896263	0.0033333333333333366	02_2
chondroitin_sodium_sulfate	BMAA	chondroitin_sodium_sulfate	A. hadrus	CM02_02	chondroitin_sodium_sulfate	3.75	0.016666666666666653	3	0.005773502691896263	0.0033333333333333366	02_2
chondroitin_sodium_sulfate	BMAA	chondroitin_sodium_sulfate	A. hadrus	CM02_02	chondroitin_sodium_sulfate	4	0.01999999999999999	3	0.010000000000000009	0.005773502691896263	02_2
chondroitin_sodium_sulfate	BMAA	chondroitin_sodium_sulfate	A. hadrus	CM02_02	chondroitin_sodium_sulfate	4.25	0.01999999999999999	3	0	0	02_2
