qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	genome_name	gene_name	comp
PMPCNALJ_02888	sp|D4MUV9|DLD_ANAHA	99.8	475	1	0	1	475	1	475	0	922	CM01_24_S247	dld	D-lactate dehydrogenase
OMENAAMB_02332	sp|D4MUV9|DLD_ANAHA	100	475	0	0	1	475	1	475	0	922	CM02_14_S245	dld	D-lactate dehydrogenase
JKIKAFLC_01177	sp|D4MUV9|DLD_ANAHA	99.8	475	1	0	1	475	1	475	0	922	CM02_2_S14	dld	D-lactate dehydrogenase
ENEEJMFF_02592	sp|D4MUV9|DLD_ANAHA	99.8	475	1	0	1	475	1	475	0	922	CM02_5_S246	dld	D-lactate dehydrogenase
COELJHHD_00543	sp|D4MUV9|DLD_ANAHA	87.4	475	60	0	1	475	1	475	3.58e-304	825	CM02_91_S238	dld	D-lactate dehydrogenase
MFFGPENN_00543	sp|D4MUV9|DLD_ANAHA	87.4	475	60	0	1	475	1	475	3.58e-304	825	CM03_34_S239	dld	D-lactate dehydrogenase
LNNJOANA_00971	sp|D4MUV9|DLD_ANAHA	99.8	475	1	0	1	475	1	475	0	922	CM03_42_S4	dld	D-lactate dehydrogenase
AGGJHBAO_02129	sp|D4MUV9|DLD_ANAHA	100	475	0	0	1	475	1	475	0	922	CM03_47_S15	dld	D-lactate dehydrogenase
EGPMHLCL_02399	sp|D4MUV9|DLD_ANAHA	100	475	0	0	1	475	1	475	0	922	CM03_84_S248	dld	D-lactate dehydrogenase
CFOPOANE_02978	sp|D4MUV9|DLD_ANAHA	99.8	475	1	0	1	475	1	475	0	922	CM06_11_S6	dld	D-lactate dehydrogenase
NKGBJBBD_00472	sp|D4MUV9|DLD_ANAHA	87.4	475	60	0	1	475	1	475	3.58e-304	825	CM06_28_S240	dld	D-lactate dehydrogenase
PNMPHDDN_02897	sp|D4MUV9|DLD_ANAHA	99.8	475	1	0	1	475	1	475	0	922	CM06_29_S244	dld	D-lactate dehydrogenase
MANNIIDF_00161	sp|D4MUV9|DLD_ANAHA	87.4	475	60	0	1	475	1	475	3.58e-304	825	CM06_64_S241	dld	D-lactate dehydrogenase
ALJHPLOP_01715	sp|D4MUV9|DLD_ANAHA	99.8	475	1	0	1	475	1	475	0	922	CM07_26_S11	dld	D-lactate dehydrogenase
KJDMGADN_01628	sp|D4MUV9|DLD_ANAHA	99.8	475	1	0	1	475	1	475	0	922	CM07_31_S12	dld	D-lactate dehydrogenase
BDKDGGGP_01143	sp|D4MUV9|DLD_ANAHA	99.8	475	1	0	1	475	1	475	0	922	CM1_23_S50	dld	D-lactate dehydrogenase
HOOBJGIH_01284	sp|D4MUV9|DLD_ANAHA	99.8	475	1	0	1	475	1	475	0	922	CM1_26_S52	dld	D-lactate dehydrogenase
