qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	genome_name	gene_name	comp
COELJHHD_01165	tr|A0A6N2RN65|A0A6N2RN65_9FIRM	99	484	5	0	1	484	1	484	1.1e-281	958.7	CM02_91_S238	abfD_but	butyrate
MFFGPENN_01166	tr|A0A6N2RN65|A0A6N2RN65_9FIRM	99	484	5	0	1	484	1	484	1.1e-281	958.7	CM03_34_S239	abfD_but	butyrate
NKGBJBBD_02847	tr|A0A6N2RN65|A0A6N2RN65_9FIRM	99	484	5	0	1	484	1	484	1.1e-281	958.7	CM06_28_S240	abfD_but	butyrate
MANNIIDF_02850	tr|A0A6N2RN65|A0A6N2RN65_9FIRM	99	484	5	0	1	484	1	484	1.1e-281	958.7	CM06_64_S241	abfD_but	butyrate
CKMKKBJN_02716	tr|A0A6N2RN65|A0A6N2RN65_9FIRM	89	483	53	0	1	483	1	483	8.7e-258	879.4	GCA_003434455.1_ASM343445v1_genomic	abfD_but	butyrate
BMGMBDAD_03001	tr|A0A6N2RN65|A0A6N2RN65_9FIRM	89	483	53	0	1	483	1	483	8.7e-258	879.4	GCA_018364275.1_ASM1836427v1_genomic	abfD_but	butyrate
OHEALFFL_02919	tr|A0A6N2RN65|A0A6N2RN65_9FIRM	99	484	5	0	1	484	1	484	1.1e-281	958.7	GCA_018375095.1_ASM1837509v1_genomic	abfD_but	butyrate
CGPEJKEM_03302	tr|A0A6N2RN65|A0A6N2RN65_9FIRM	93.6	484	31	0	1	484	1	484	1.4e-268	915.2	GCA_018381315.1_ASM1838131v1_genomic	abfD_but	butyrate
GMFGONPC_02299	tr|A0A1C6AAW1|A0A1C6AAW1_9FIRM	87.8	483	59	0	1	483	1	483	1.5e-257	878.6	GCA_019119895.1_ASM1911989v1_genomic	abfD_but	butyrate
GMFGONPC_02299	tr|A0A6N2RN65|A0A6N2RN65_9FIRM	88	483	58	0	1	483	1	483	4.3e-257	877.1	GCA_019119895.1_ASM1911989v1_genomic	abfD_but	butyrate
GMFGONPC_02299	tr|A0A1C6CVS2|A0A1C6CVS2_9CLOT	88.8	483	54	0	1	483	1	483	2.2e-256	874.8	GCA_019119895.1_ASM1911989v1_genomic	abfD_but	butyrate
GMFGONPC_02299	tr|A0A1C6GYB2|A0A1C6GYB2_9CLOT	88.2	483	57	0	1	483	1	483	5.3e-255	870.2	GCA_019119895.1_ASM1911989v1_genomic	abfD_but	butyrate
AELLMANC_02241	tr|A0A6N2RN65|A0A6N2RN65_9FIRM	94.4	484	27	0	1	484	1	484	1.8e-271	924.9	GCA_905199235.1_SRR2912801-mag-bin.12_genomic	abfD_but	butyrate
BOMDPHAE_02019	tr|A0A6N2RN65|A0A6N2RN65_9FIRM	89	483	53	0	1	483	1	483	8.7e-258	879.4	GCA_910574135.1_MGBC000029_genomic	abfD_but	butyrate
PEOBIMBK_01347	tr|A0A6N2RN65|A0A6N2RN65_9FIRM	89	483	53	0	1	483	1	483	8.7e-258	879.4	GCA_910574775.1_MGBC000097_genomic	abfD_but	butyrate
OLPJKGML_01470	tr|A0A6N2RN65|A0A6N2RN65_9FIRM	89	483	53	0	1	483	1	483	8.7e-258	879.4	GCA_910574945.1_MGBC000090_genomic	abfD_but	butyrate
HHFKICIG_01482	tr|A0A6N2RN65|A0A6N2RN65_9FIRM	89	483	53	0	1	483	1	483	8.7e-258	879.4	GCA_910575065.1_MGBC000096_genomic	abfD_but	butyrate
