qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	genome_name	gene_name	comp
PMPCNALJ_00083	tr|A0A415Y5S4|A0A415Y5S4_9FIRM	100	317	0	0	1	317	1	317	4.2799999999999996e-228	620	CM01_24_S247	ldh	L-lactate dehydrogenase
PMPCNALJ_00083	tr|D4MZM0|D4MZM0_ANAHA	99.7	317	1	0	1	317	1	317	2.4799999999999994e-227	619	CM01_24_S247	ldh	L-lactate dehydrogenase
PMPCNALJ_00083	tr|A0A173S8Z7|A0A173S8Z7_ANAHA	99.1	317	3	0	1	317	1	317	4.11e-226	615	CM01_24_S247	ldh	L-lactate dehydrogenase
PMPCNALJ_00083	tr|A0AAQ3GQJ6|A0AAQ3GQJ6_ANAHA	99.1	317	3	0	1	317	1	317	4.11e-226	615	CM01_24_S247	ldh	L-lactate dehydrogenase
PMPCNALJ_00083	tr|E5VG93|E5VG93_9FIRM	99.1	317	3	0	1	317	1	317	4.11e-226	615	CM01_24_S247	ldh	L-lactate dehydrogenase
PMPCNALJ_00083	tr|A0A415WCX6|A0A415WCX6_9FIRM	99.1	317	3	0	1	317	1	317	1.1799999999999998e-225	614	CM01_24_S247	ldh	L-lactate dehydrogenase
PMPCNALJ_01574	tr|A0A415WB88|A0A415WB88_9FIRM	99.7	316	1	0	1	316	19	334	4.26e-221	603	CM01_24_S247	ldh	L-lactate dehydrogenase
PMPCNALJ_01574	tr|A0A415YL33|A0A415YL33_9FIRM	99.7	316	1	0	1	316	19	334	4.26e-221	603	CM01_24_S247	ldh	L-lactate dehydrogenase
PMPCNALJ_01574	tr|A0A417JUU1|A0A417JUU1_9FIRM	99.7	316	1	0	1	316	19	334	4.26e-221	603	CM01_24_S247	ldh	L-lactate dehydrogenase
PMPCNALJ_01574	tr|A0A417V7X9|A0A417V7X9_9FIRM	99.7	316	1	0	1	316	19	334	4.26e-221	603	CM01_24_S247	ldh	L-lactate dehydrogenase
PMPCNALJ_01574	tr|A0A173TV67|A0A173TV67_ANAHA	99.7	316	1	0	1	316	1	316	2.1799999999999999e-221	603	CM01_24_S247	ldh	L-lactate dehydrogenase
PMPCNALJ_01574	tr|E5VGR6|E5VGR6_9FIRM	99.7	316	1	0	1	316	1	316	2.1799999999999999e-221	603	CM01_24_S247	ldh	L-lactate dehydrogenase
PMPCNALJ_01574	tr|A0A173RVN0|A0A173RVN0_ANAHA	99.4	316	2	0	1	316	1	316	1.26e-220	602	CM01_24_S247	ldh	L-lactate dehydrogenase
PMPCNALJ_01574	tr|D4MZ79|D4MZ79_ANAHA	99.4	316	2	0	1	316	1	316	1.79e-220	601	CM01_24_S247	ldh	L-lactate dehydrogenase
PMPCNALJ_01584	tr|A0A1Q2C936|A0A1Q2C936_ANAHA	100	318	0	0	1	318	1	318	1.73e-223	609	CM01_24_S247	ldh	L-lactate dehydrogenase
