qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	genome_name	gene_name	comp
PMPCNALJ_00079	tr|A0A3E4QU67|A0A3E4QU67_9ACTN	56.7	120	52	0	2	121	3	122	1.4e-33	139	CM01_24_S247	epimce_prop	propionate
PMPCNALJ_02893	tr|A0A0M6WGC8|A0A0M6WGC8_9FIRM	91.3	127	11	0	1	127	1	127	1e-63	239.2	CM01_24_S247	epimce_prop	propionate
OMENAAMB_00382	tr|A0A3E4QU67|A0A3E4QU67_9ACTN	56.7	120	52	0	2	121	3	122	1.4e-33	139	CM02_14_S245	epimce_prop	propionate
JKIKAFLC_00309	tr|A0A3E4QU67|A0A3E4QU67_9ACTN	56.7	120	52	0	2	121	3	122	1.4e-33	139	CM02_2_S14	epimce_prop	propionate
ENEEJMFF_00086	tr|A0A3E4QU67|A0A3E4QU67_9ACTN	56.7	120	52	0	2	121	3	122	1.4e-33	139	CM02_5_S246	epimce_prop	propionate
COELJHHD_00194	tr|A0A2A2E5R2|A0A2A2E5R2_9PSED	57.9	126	53	0	1	126	1	126	3e-39	157.9	CM02_91_S238	epimce_prop	propionate
COELJHHD_00717	tr|A0A3E4QU67|A0A3E4QU67_9ACTN	57.3	117	50	0	6	122	7	123	1.1e-33	139.4	CM02_91_S238	epimce_prop	propionate
COELJHHD_01637	tr|A0A3N2KPH9|A0A3N2KPH9_9BACT	58.5	123	50	1	8	129	11	133	9e-39	156.4	CM02_91_S238	epimce_prop	propionate
MFFGPENN_00194	tr|A0A2A2E5R2|A0A2A2E5R2_9PSED	57.9	126	53	0	1	126	1	126	3e-39	157.9	CM03_34_S239	epimce_prop	propionate
MFFGPENN_00718	tr|A0A3E4QU67|A0A3E4QU67_9ACTN	57.3	117	50	0	6	122	7	123	1.1e-33	139.4	CM03_34_S239	epimce_prop	propionate
MFFGPENN_01819	tr|A0A3N2KPH9|A0A3N2KPH9_9BACT	58.5	123	50	1	8	129	11	133	9e-39	156.4	CM03_34_S239	epimce_prop	propionate
LNNJOANA_00109	tr|A0A3E4QU67|A0A3E4QU67_9ACTN	56.7	120	52	0	2	121	3	122	3.6e-34	141	CM03_42_S4	epimce_prop	propionate
LNNJOANA_02097	tr|A0A0N0GMY5|A0A0N0GMY5_9NEIS	57	121	52	0	5	125	6	126	2.3e-39	158.3	CM03_42_S4	epimce_prop	propionate
AGGJHBAO_00258	tr|A0A3E4QU67|A0A3E4QU67_9ACTN	56.7	120	52	0	2	121	3	122	1.4e-33	139	CM03_47_S15	epimce_prop	propionate
EGPMHLCL_00291	tr|A0A3E4QU67|A0A3E4QU67_9ACTN	56.7	120	52	0	2	121	3	122	1.4e-33	139	CM03_84_S248	epimce_prop	propionate
CFOPOANE_00228	tr|A0A3E4QU67|A0A3E4QU67_9ACTN	56.7	120	52	0	2	121	3	122	1.4e-33	139	CM06_11_S6	epimce_prop	propionate
NKGBJBBD_00296	tr|A0A3E4QU67|A0A3E4QU67_9ACTN	57.3	117	50	0	6	122	7	123	1.1e-33	139.4	CM06_28_S240	epimce_prop	propionate
NKGBJBBD_01607	tr|A0A2A2E5R2|A0A2A2E5R2_9PSED	57.9	126	53	0	1	126	1	126	3e-39	157.9	CM06_28_S240	epimce_prop	propionate
NKGBJBBD_02043	tr|A0A3N2KPH9|A0A3N2KPH9_9BACT	58.5	123	50	1	8	129	11	133	9e-39	156.4	CM06_28_S240	epimce_prop	propionate
PNMPHDDN_00049	tr|A0A3E4QU67|A0A3E4QU67_9ACTN	56.7	120	52	0	2	121	3	122	1.4e-33	139	CM06_29_S244	epimce_prop	propionate
MANNIIDF_00337	tr|A0A3E4QU67|A0A3E4QU67_9ACTN	57.3	117	50	0	6	122	7	123	1.1e-33	139.4	CM06_64_S241	epimce_prop	propionate
MANNIIDF_01604	tr|A0A2A2E5R2|A0A2A2E5R2_9PSED	57.9	126	53	0	1	126	1	126	3e-39	157.9	CM06_64_S241	epimce_prop	propionate
