qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	genome_name	gene_name	comp
PMPCNALJ_01991	tr|A0A415W1Y4|A0A415W1Y4_9FIRM	99.7	323	1	0	1	323	1	323	5.2e-195	675.6	CM01_24_S247	bsh	bsh
PMPCNALJ_01991	tr|A0A415Y4A6|A0A415Y4A6_9FIRM	99.7	323	1	0	1	323	1	323	5.2e-195	675.6	CM01_24_S247	bsh	bsh
PMPCNALJ_01991	tr|A0A417JP01|A0A417JP01_9FIRM	99.7	323	1	0	1	323	1	323	5.2e-195	675.6	CM01_24_S247	bsh	bsh
PMPCNALJ_01991	tr|A0A417UTY8|A0A417UTY8_9FIRM	99.7	323	1	0	1	323	1	323	5.2e-195	675.6	CM01_24_S247	bsh	bsh
PMPCNALJ_01991	tr|D4N0V8|D4N0V8_ANAHA	99.7	323	1	0	1	323	1	323	5.2e-195	675.6	CM01_24_S247	bsh	bsh
PMPCNALJ_01991	tr|A0A6N2RN78|A0A6N2RN78_ANAHA	99.4	323	2	0	1	323	1	323	6.9e-195	675.2	CM01_24_S247	bsh	bsh
PMPCNALJ_01991	tr|L1QBV1|L1QBV1_ANAHA	99.4	323	2	0	1	323	1	323	1.2e-194	674.5	CM01_24_S247	bsh	bsh
PMPCNALJ_01991	tr|A0A1Q2CAU9|A0A1Q2CAU9_ANAHA	99.4	323	2	0	1	323	1	323	1.5e-194	674.1	CM01_24_S247	bsh	bsh
PMPCNALJ_01991	tr|E5VP64|E5VP64_9FIRM	99.4	323	2	0	1	323	1	323	1.5e-194	674.1	CM01_24_S247	bsh	bsh
PMPCNALJ_01991	tr|R5Z9B8|R5Z9B8_9FIRM	99.4	323	2	0	1	323	1	323	1.5e-194	674.1	CM01_24_S247	bsh	bsh
PMPCNALJ_01991	tr|A0A174S307|A0A174S307_ANAHA	99.4	323	2	0	1	323	1	323	2e-194	673.7	CM01_24_S247	bsh	bsh
OMENAAMB_00203	tr|A0A2N0UR24|A0A2N0UR24_9FIRM	98	349	7	0	1	349	1	349	6e-205	708.8	CM02_14_S245	bsh	bsh
OMENAAMB_02178	tr|A0A174FV32|A0A174FV32_9FIRM	98.5	336	5	0	1	336	1	336	3.1e-198	686.4	CM02_14_S245	bsh	bsh
OMENAAMB_02178	tr|A0A174EAC0|A0A174EAC0_9FIRM	98.2	336	6	0	1	336	1	336	2e-197	683.7	CM02_14_S245	bsh	bsh
OMENAAMB_02854	tr|A0A415W1Y4|A0A415W1Y4_9FIRM	99.4	323	2	0	1	323	1	323	3.4e-194	672.9	CM02_14_S245	bsh	bsh
OMENAAMB_02854	tr|A0A415Y4A6|A0A415Y4A6_9FIRM	99.4	323	2	0	1	323	1	323	3.4e-194	672.9	CM02_14_S245	bsh	bsh
OMENAAMB_02854	tr|A0A417JP01|A0A417JP01_9FIRM	99.4	323	2	0	1	323	1	323	3.4e-194	672.9	CM02_14_S245	bsh	bsh
OMENAAMB_02854	tr|A0A417UTY8|A0A417UTY8_9FIRM	99.4	323	2	0	1	323	1	323	3.4e-194	672.9	CM02_14_S245	bsh	bsh
OMENAAMB_02854	tr|D4N0V8|D4N0V8_ANAHA	99.4	323	2	0	1	323	1	323	3.4e-194	672.9	CM02_14_S245	bsh	bsh
OMENAAMB_02854	tr|A0A6N2RN78|A0A6N2RN78_ANAHA	99.1	323	3	0	1	323	1	323	4.4e-194	672.5	CM02_14_S245	bsh	bsh
OMENAAMB_02854	tr|L1QBV1|L1QBV1_ANAHA	99.1	323	3	0	1	323	1	323	7.6e-194	671.8	CM02_14_S245	bsh	bsh
OMENAAMB_02854	tr|A0A1Q2CAU9|A0A1Q2CAU9_ANAHA	99.1	323	3	0	1	323	1	323	9.9e-194	671.4	CM02_14_S245	bsh	bsh
OMENAAMB_02854	tr|E5VP64|E5VP64_9FIRM	99.1	323	3	0	1	323	1	323	9.9e-194	671.4	CM02_14_S245	bsh	bsh
OMENAAMB_02854	tr|R5Z9B8|R5Z9B8_9FIRM	99.1	323	3	0	1	323	1	323	9.9e-194	671.4	CM02_14_S245	bsh	bsh
OMENAAMB_02854	tr|A0A174S307|A0A174S307_ANAHA	99.1	323	3	0	1	323	1	323	1.3e-193	671	CM02_14_S245	bsh	bsh
JKIKAFLC_02737	tr|A0A415W1Y4|A0A415W1Y4_9FIRM	100	323	0	0	1	323	1	323	2.4e-195	676.8	CM02_2_S14	bsh	bsh
JKIKAFLC_02737	tr|A0A415Y4A6|A0A415Y4A6_9FIRM	100	323	0	0	1	323	1	323	2.4e-195	676.8	CM02_2_S14	bsh	bsh
JKIKAFLC_02737	tr|A0A417JP01|A0A417JP01_9FIRM	100	323	0	0	1	323	1	323	2.4e-195	676.8	CM02_2_S14	bsh	bsh
JKIKAFLC_02737	tr|A0A417UTY8|A0A417UTY8_9FIRM	100	323	0	0	1	323	1	323	2.4e-195	676.8	CM02_2_S14	bsh	bsh
JKIKAFLC_02737	tr|D4N0V8|D4N0V8_ANAHA	100	323	0	0	1	323	1	323	2.4e-195	676.8	CM02_2_S14	bsh	bsh
JKIKAFLC_02737	tr|A0A6N2RN78|A0A6N2RN78_ANAHA	99.7	323	1	0	1	323	1	323	3.1e-195	676.4	CM02_2_S14	bsh	bsh
JKIKAFLC_02737	tr|L1QBV1|L1QBV1_ANAHA	99.7	323	1	0	1	323	1	323	5.2e-195	675.6	CM02_2_S14	bsh	bsh
JKIKAFLC_02737	tr|A0A1Q2CAU9|A0A1Q2CAU9_ANAHA	99.7	323	1	0	1	323	1	323	6.9e-195	675.2	CM02_2_S14	bsh	bsh
JKIKAFLC_02737	tr|E5VP64|E5VP64_9FIRM	99.7	323	1	0	1	323	1	323	6.9e-195	675.2	CM02_2_S14	bsh	bsh
JKIKAFLC_02737	tr|R5Z9B8|R5Z9B8_9FIRM	99.7	323	1	0	1	323	1	323	6.9e-195	675.2	CM02_2_S14	bsh	bsh
JKIKAFLC_02737	tr|A0A174S307|A0A174S307_ANAHA	99.7	323	1	0	1	323	1	323	8.9e-195	674.9	CM02_2_S14	bsh	bsh
ENEEJMFF_02109	tr|A0A415W1Y4|A0A415W1Y4_9FIRM	100	323	0	0	1	323	1	323	2.4e-195	676.8	CM02_5_S246	bsh	bsh
ENEEJMFF_02109	tr|A0A415Y4A6|A0A415Y4A6_9FIRM	100	323	0	0	1	323	1	323	2.4e-195	676.8	CM02_5_S246	bsh	bsh
ENEEJMFF_02109	tr|A0A417JP01|A0A417JP01_9FIRM	100	323	0	0	1	323	1	323	2.4e-195	676.8	CM02_5_S246	bsh	bsh
ENEEJMFF_02109	tr|A0A417UTY8|A0A417UTY8_9FIRM	100	323	0	0	1	323	1	323	2.4e-195	676.8	CM02_5_S246	bsh	bsh
ENEEJMFF_02109	tr|D4N0V8|D4N0V8_ANAHA	100	323	0	0	1	323	1	323	2.4e-195	676.8	CM02_5_S246	bsh	bsh
ENEEJMFF_02109	tr|A0A6N2RN78|A0A6N2RN78_ANAHA	99.7	323	1	0	1	323	1	323	3.1e-195	676.4	CM02_5_S246	bsh	bsh
ENEEJMFF_02109	tr|L1QBV1|L1QBV1_ANAHA	99.7	323	1	0	1	323	1	323	5.2e-195	675.6	CM02_5_S246	bsh	bsh
ENEEJMFF_02109	tr|A0A1Q2CAU9|A0A1Q2CAU9_ANAHA	99.7	323	1	0	1	323	1	323	6.9e-195	675.2	CM02_5_S246	bsh	bsh
ENEEJMFF_02109	tr|E5VP64|E5VP64_9FIRM	99.7	323	1	0	1	323	1	323	6.9e-195	675.2	CM02_5_S246	bsh	bsh
ENEEJMFF_02109	tr|R5Z9B8|R5Z9B8_9FIRM	99.7	323	1	0	1	323	1	323	6.9e-195	675.2	CM02_5_S246	bsh	bsh
ENEEJMFF_02109	tr|A0A174S307|A0A174S307_ANAHA	99.7	323	1	0	1	323	1	323	8.9e-195	674.9	CM02_5_S246	bsh	bsh
COELJHHD_00733	tr|A0A374AUU7|A0A374AUU7_9FIRM	100	329	0	0	1	329	1	329	8e-199	688.3	CM02_91_S238	bsh	bsh
COELJHHD_00733	tr|A0A6N2SP25|A0A6N2SP25_9FIRM	99.7	329	1	0	1	329	1	329	5.2e-198	685.6	CM02_91_S238	bsh	bsh
COELJHHD_00733	tr|B0MC37|B0MC37_ANACD	99.7	329	1	0	1	329	4	332	5.2e-198	685.6	CM02_91_S238	bsh	bsh
COELJHHD_01997	tr|A0A1H3BS51|A0A1H3BS51_EUBBA	62.9	364	135	0	1	364	1	364	6.8e-138	486.1	CM02_91_S238	bsh	bsh
MFFGPENN_00734	tr|A0A374AUU7|A0A374AUU7_9FIRM	100	329	0	0	1	329	1	329	8e-199	688.3	CM03_34_S239	bsh	bsh
MFFGPENN_00734	tr|A0A6N2SP25|A0A6N2SP25_9FIRM	99.7	329	1	0	1	329	1	329	5.2e-198	685.6	CM03_34_S239	bsh	bsh
MFFGPENN_00734	tr|B0MC37|B0MC37_ANACD	99.7	329	1	0	1	329	4	332	5.2e-198	685.6	CM03_34_S239	bsh	bsh
MFFGPENN_01459	tr|A0A1H3BS51|A0A1H3BS51_EUBBA	62.9	364	135	0	1	364	1	364	6.8e-138	486.1	CM03_34_S239	bsh	bsh
LNNJOANA_01640	tr|A0A1Q2CAU9|A0A1Q2CAU9_ANAHA	100	323	0	0	1	323	1	323	2.4e-195	676.8	CM03_42_S4	bsh	bsh
LNNJOANA_01640	tr|A0A415W1Y4|A0A415W1Y4_9FIRM	99.7	323	1	0	1	323	1	323	8.9e-195	674.9	CM03_42_S4	bsh	bsh
LNNJOANA_01640	tr|A0A415Y4A6|A0A415Y4A6_9FIRM	99.7	323	1	0	1	323	1	323	8.9e-195	674.9	CM03_42_S4	bsh	bsh
LNNJOANA_01640	tr|A0A417JP01|A0A417JP01_9FIRM	99.7	323	1	0	1	323	1	323	8.9e-195	674.9	CM03_42_S4	bsh	bsh
LNNJOANA_01640	tr|A0A417UTY8|A0A417UTY8_9FIRM	99.7	323	1	0	1	323	1	323	8.9e-195	674.9	CM03_42_S4	bsh	bsh
LNNJOANA_01640	tr|D4N0V8|D4N0V8_ANAHA	99.7	323	1	0	1	323	1	323	8.9e-195	674.9	CM03_42_S4	bsh	bsh
LNNJOANA_01640	tr|A0A6N2RN78|A0A6N2RN78_ANAHA	99.4	323	2	0	1	323	1	323	1.2e-194	674.5	CM03_42_S4	bsh	bsh
LNNJOANA_01640	tr|L1QBV1|L1QBV1_ANAHA	99.4	323	2	0	1	323	1	323	2e-194	673.7	CM03_42_S4	bsh	bsh
LNNJOANA_01640	tr|E5VP64|E5VP64_9FIRM	99.4	323	2	0	1	323	1	323	2.6e-194	673.3	CM03_42_S4	bsh	bsh
LNNJOANA_01640	tr|R5Z9B8|R5Z9B8_9FIRM	99.4	323	2	0	1	323	1	323	2.6e-194	673.3	CM03_42_S4	bsh	bsh
LNNJOANA_01640	tr|A0A174S307|A0A174S307_ANAHA	99.4	323	2	0	1	323	1	323	3.4e-194	672.9	CM03_42_S4	bsh	bsh
