ORF_ID	ORF	HMM_Name	Score	Significance_evalue	NAME	Alternative_name	Database	Description	genome_name
0000000038	1_38	PF00717.18	65.5	5e-19	Peptidase_S24	-	PFAM	Peptidase S24-like	CM01_24_S247
0000000079	1_79	PF00903.20	43.2	6.7e-12	Glyoxalase	-	PFAM	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily	CM01_24_S247
0000000106	1_106	PF00717.18	63.4	2.2e-18	Peptidase_S24	-	PFAM	Peptidase S24-like	CM01_24_S247
0000000122	1_122	K11021_124	43.3	2.3e-12	tccC	-	KEGG	insecticidal toxin complex protein TccC	CM01_24_S247
0000000273	3_6	K10816_8	76.3	2.8000000000000004e-22	hcnC	-	KEGG	hydrogen cyanide synthase HcnC [EC:1.4.99.5]	CM01_24_S247
0000000274	3_7	K10815_8	64	1.3e-18	hcnB	-	KEGG	hydrogen cyanide synthase HcnB [EC:1.4.99.5]	CM01_24_S247
0000000340	3_73	PF13091.1	52.4	7.8e-15	PLDc_2	-	PFAM	PLD-like domain	CM01_24_S247
0000000613	5_88	PF13091.1	102.6	2.4000000000000002e-30	PLDc_2	-	PFAM	PLD-like domain	CM01_24_S247
0000000648	5_123	K11062_2	52.9	3.2e-15	entD	-	KEGG	probable enterotoxin D	CM01_24_S247
0000000649	5_124	PF05105.7	93.2	1.6000000000000001e-27	Phage_holin_4	-	PFAM	Holin family	CM01_24_S247
0000000649	5_124	TIGR01593	86.5	2.1e-25	holin_tox_secr	-	TIGR	toxin secretion/phage lysis holin	CM01_24_S247
0000000762	6_107	TIGR02771	46.6	4.2e-13	TraF_Ti	-	TIGR	conjugative transfer signal peptidase TraF	CM01_24_S247
0000000762	6_107	PF10502.4	49	8.5e-14	Peptidase_S26	-	PFAM	Signal peptidase, peptidase S26	CM01_24_S247
0000000762	6_107	PF00717.18	58	1.1e-16	Peptidase_S24	-	PFAM	Peptidase S24-like	CM01_24_S247
0000000764	6_109	PF00717.18	59.5	3.7e-17	Peptidase_S24	-	PFAM	Peptidase S24-like	CM01_24_S247
0000000821	7_46	PF13950.1	104.3	4.4999999999999995e-31	Epimerase_Csub	-	PFAM	UDP-glucose 4-epimerase C-term subunit	CM01_24_S247
0000000856	7_81	K11068_1278_95_625	221.3	1.5e-66	hlyIII	-	KEGG	hemolysin III	CM01_24_S247
0000001024	9_31	PF02742.10	40.3	3.6e-11	Fe_dep_repr_C	-	PFAM	Iron dependent repressor, metal binding and dimerisation domain	CM01_24_S247
0000001059	9_66	PF13950.1	63.1	3.4e-18	Epimerase_Csub	-	PFAM	UDP-glucose 4-epimerase C-term subunit	CM01_24_S247
0000001101	10_11	PF01909.18	41.9	1.8e-11	NTP_transf_2	-	PFAM	Nucleotidyltransferase domain	CM01_24_S247
0000001176	10_86	PF03372.18	89.6	5.899999999999999e-26	Exo_endo_phos	-	PFAM	Endonuclease/Exonuclease/phosphatase family	CM01_24_S247
0000001493	14_14	PF04488.10	56.9	4.3e-16	Gly_transf_sug	-	PFAM	Glycosyltransferase sugar-binding region containing DXD motif	CM01_24_S247
0000001508	14_29	PF01909.18	45	1.9e-12	NTP_transf_2	-	PFAM	Nucleotidyltransferase domain	CM01_24_S247
0000001544	14_65	PF05193.16	72.2	8e-21	Peptidase_M16_C	-	PFAM	Peptidase M16 inactive domain	CM01_24_S247
0000001544	14_65	K06972_355	989.8	2e-298	PITRM1, PreP, CYM1	-	KEGG	presequence protease [EC:3.4.24.-]	CM01_24_S247
0000001544	14_65	PF08367.6	215.4	1.1e-64	M16C_assoc	-	PFAM	Peptidase M16C associated	CM01_24_S247
0000001572	15_12	PF13091.1	93.9	1.2e-27	PLDc_2	-	PFAM	PLD-like domain	CM01_24_S247
0000001578	15_18	PF13091.1	47.5	2.7e-13	PLDc_2	-	PFAM	PLD-like domain	CM01_24_S247
0000001591	15_31	PF00873.14	709.1	1.3999999999999998e-213	ACR_tran	-	PFAM	AcrB/AcrD/AcrF family	CM01_24_S247
0000001611	15_51	K03699_483	397.1	1.1999999999999999e-119	tlyC	-	KEGG	putative hemolysin	CM01_24_S247
0000001629	15_69	K11021_124	81.5	6.7e-24	tccC	-	KEGG	insecticidal toxin complex protein TccC	CM01_24_S247
0000001638	16_9	PF00881.19	98.9	5.0000000000000004e-29	Nitroreductase	-	PFAM	Nitroreductase family	CM01_24_S247
0000001663	16_34	PF02452.12	106.8	1.3e-31	PemK	-	PFAM	PemK-like protein	CM01_24_S247
0000001664	16_35	K03699_483	266.5	5.1e-80	tlyC	-	KEGG	putative hemolysin	CM01_24_S247
0000001668	16_39	PF14057.1	639	2.2000000000000003e-193	GGGtGRT	-	PFAM	GGGtGRT protein	CM01_24_S247
0000001686	16_57	PF14058.1	41.8	2.2e-11	PcfK	-	PFAM	PcfK-like protein	CM01_24_S247
0000001722	16_93	TIGR01593	77.4	1.4000000000000002e-22	holin_tox_secr	-	TIGR	toxin secretion/phage lysis holin	CM01_24_S247
0000001722	16_93	PF05105.7	81.8	5.5e-24	Phage_holin_4	-	PFAM	Holin family	CM01_24_S247
0000001723	16_94	K11062_2	57.3	1.5e-16	entD	-	KEGG	probable enterotoxin D	CM01_24_S247
0000001889	19_21	PF02742.10	49.1	6.3e-14	Fe_dep_repr_C	-	PFAM	Iron dependent repressor, metal binding and dimerisation domain	CM01_24_S247
0000002023	21_5	PF03372.18	47.3	4.8e-13	Exo_endo_phos	-	PFAM	Endonuclease/Exonuclease/phosphatase family	CM01_24_S247
0000002228	24_20	PF03496.9	79.9	2.6e-23	ADPrib_exo_Tox	-	PFAM	ADP-ribosyltransferase exoenzyme	CM01_24_S247
0000002358	26_24	PF07883.6	54	1.7e-15	Cupin_2	-	PFAM	Cupin domain	CM01_24_S247
0000002389	27_1	K11021_124	43.1	2.7e-12	tccC	-	KEGG	insecticidal toxin complex protein TccC	CM01_24_S247
0000002430	27_42	PF01909.18	44.4	2.9e-12	NTP_transf_2	-	PFAM	Nucleotidyltransferase domain	CM01_24_S247
0000002549	30_14	PF02452.12	58.4	1.4e-16	PemK	-	PFAM	PemK-like protein	CM01_24_S247
0000002566	30_31	PF07927.7	44.5	2e-12	YcfA	-	PFAM	YcfA-like protein	CM01_24_S247
0000002738	34_14	PF00882.13	74.3	1.6e-21	Zn_dep_PLPC	-	PFAM	Zinc dependent phospholipase C	CM01_24_S247
0000002756	35_1	K11060_3	50.4	2.1e-14	entB	-	KEGG	probable enterotoxin B	CM01_24_S247
0000002849	38_14	PF13091.1	71.1	1.3e-20	PLDc_2	-	PFAM	PLD-like domain	CM01_24_S247
0000002861	39_7	PF07883.6	67.2	1.3e-19	Cupin_2	-	PFAM	Cupin domain	CM01_24_S247
0000002867	39_13	K11060_3	57.7	1.3e-16	entB	-	KEGG	probable enterotoxin B	CM01_24_S247
0000002880	41_2	PF00903.20	42.6	1e-11	Glyoxalase	-	PFAM	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily	CM01_24_S247
