Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	#ofTools	genome_name
NODE_11_length_102475_cov_43.306562_31	-|-	GH13_39(187-518)	CBM34_e3+GH13_e89	GH13_39	3	CM01_24_S247
NODE_11_length_102475_cov_43.306562_32	2.4.1.1:158	GT35(94-809)	GT35_e0	GT35	3	CM01_24_S247
NODE_11_length_102475_cov_43.306562_33	-	GT5(8-478)	GT5_e1	GT5	3	CM01_24_S247
NODE_11_length_102475_cov_43.306562_36	2.4.1.18:57|2.4.1.18:14	CBM48(25-105)+GH13_9(176-477)	CBM48_e2+GH13_e200	CBM48+GH13_9	3	CM01_24_S247
NODE_11_length_102475_cov_43.306562_87	-	GH109(2-142)	-	-	1	CM01_24_S247
NODE_12_length_98220_cov_44.835136_1	-	GH73(268-428)	GH73_e132	GH73	3	CM01_24_S247
NODE_12_length_98220_cov_44.835136_80	3.2.1.23:11	GH2(20-629)	GH2_e13	GH2	3	CM01_24_S247
NODE_13_length_92606_cov_59.695682_33	-	GT51(83-260)	GT51_e21	GT51	3	CM01_24_S247
NODE_13_length_92606_cov_59.695682_90	5.4.99.11:5|3.2.1.20:4|3.2.1.10:1|3.2.1.-:1|3.2.1.70:1	GH13_31(29-377)	GH13_e122	GH13_31	3	CM01_24_S247
NODE_14_length_88130_cov_46.685318_10	-	GT4(192-302)	GT4_e150	GT4	3	CM01_24_S247
NODE_14_length_88130_cov_46.685318_11	-	GT2(8-115)	GT2	GT2	3	CM01_24_S247
NODE_14_length_88130_cov_46.685318_13	-	GT4(226-370)	GT4_e134	GT4	3	CM01_24_S247
NODE_14_length_88130_cov_46.685318_14	-	GT32(20-97)	GT32_e192	-	2	CM01_24_S247
NODE_14_length_88130_cov_46.685318_15	-	GT4(206-349)	GT4_e1204	-	2	CM01_24_S247
NODE_14_length_88130_cov_46.685318_16	-	GT4(213-353)	GT4_e1204	-	2	CM01_24_S247
NODE_14_length_88130_cov_46.685318_18	-	GT2(4-164)	GT2	-	2	CM01_24_S247
NODE_14_length_88130_cov_46.685318_2	-	GH3(116-346)	GH3_e215	GH3	3	CM01_24_S247
NODE_14_length_88130_cov_46.685318_21	-	GT2(7-81)	GT2	-	2	CM01_24_S247
NODE_14_length_88130_cov_46.685318_65	-	GH25(87-265)	GH25_e110	GH25	3	CM01_24_S247
NODE_14_length_88130_cov_46.685318_9	-	GT4(193-338)	GT4_e3212	GT4	3	CM01_24_S247
NODE_15_length_81695_cov_41.156348_22	3.2.1.86:12|3.2.1.38:3|3.2.1.85:3|3.2.1.21:1|3.2.1.-:1	GH1(7-479)	GH1_e115	GH1	3	CM01_24_S247
NODE_16_length_79125_cov_32.790830_28	-	GT2(5-108)	GT2	GT2	3	CM01_24_S247
NODE_17_length_77177_cov_59.487554_33	3.2.1.122:13	GH4(8-184)	GH4_e4	GH4	3	CM01_24_S247
NODE_17_length_77177_cov_59.487554_38	3.2.1.122:13	GH4(8-184)	GH4_e4	GH4	3	CM01_24_S247
NODE_17_length_77177_cov_59.487554_52	3.2.1.122:13	GH4(6-184)	GH4_e4	GH4	3	CM01_24_S247
NODE_17_length_77177_cov_59.487554_53	3.2.1.86:16	GH4(6-180)	GH4_e24	GH4	3	CM01_24_S247
NODE_18_length_74739_cov_56.338484_18	-	CE4(79-190)	CE4_e246	CE4	3	CM01_24_S247
NODE_19_length_70727_cov_49.515411_18	-	GH25(51-234)	GH25_e171	GH25	3	CM01_24_S247
NODE_22_length_65812_cov_45.705854_15	3.2.1.68:75|2.4.1.25:4|3.2.1.-:1|3.2.1.68:15|3.2.1.-:1	GH13_11(191-552)	CBM48_e3+GH13_e48	CBM48+GH13_11	3	CM01_24_S247
NODE_22_length_65812_cov_45.705854_40	3.2.1.26:3	GH32(37-339)	GH32_e76	GH32	3	CM01_24_S247
NODE_22_length_65812_cov_45.705854_42	-	GH32(6-294)	GH32_e121	GH32	3	CM01_24_S247
NODE_25_length_56851_cov_29.986831_45	-	AA7(48-237)	-	-	1	CM01_24_S247
NODE_26_length_56464_cov_57.462573_41	-	GT28(188-337)	GT28_e30	GT28	3	CM01_24_S247
NODE_26_length_56464_cov_57.462573_45	-	CE4(81-203)	CE4_e82	CE4	3	CM01_24_S247
NODE_28_length_49757_cov_54.220774_36	2.4.1.18:14	GH13_9(164-453)	GH13_e200	CBM48+GH13_9	3	CM01_24_S247
NODE_30_length_46528_cov_39.986143_8	3.2.1.89:17|3.2.1.89:17	GH53(63-318)+GH53(406-795)	GH53_e14+GH53_e14	GH53	3	CM01_24_S247
NODE_30_length_46528_cov_39.986143_9	3.2.1.89:17|3.2.1.89:17	GH53(64-320)+GH53(408-798)	GH53_e14+GH53_e14	GH53	3	CM01_24_S247
NODE_31_length_43527_cov_41.610507_15	-	GT4(202-352)	GT4_e2390	-	2	CM01_24_S247
NODE_31_length_43527_cov_41.610507_17	-	GT4(194-338)	GT4_e647	GT4	3	CM01_24_S247
NODE_31_length_43527_cov_41.610507_18	-	GT2(7-143)	GT2	GT2	3	CM01_24_S247
